"sampno","x_mean1","x_sd1","x_mean2","x_sd2","lnlike"
1,7,1.5,7,1.5,-111.61202270525
11,7,1.52821443206631,7,1.46480646799318,-111.795530166646
21,7,1.24470444815233,7,1.32521881186403,-111.802605805272
31,7,1.50674885651097,7,1.71868972550146,-111.823120455714
41,6.41045523621142,1.34532410139218,7,1.36462914082222,-107.932021636155
51,6.41045523621142,1.40421898919158,7,1.36462914082222,-108.248781533566
61,6.41045523621142,1.40421898919158,7.6149158347398,1.88478172314353,-107.977161842725
71,6.41045523621142,1.48978480487131,7.6149158347398,1.69991005863994,-108.270256443546
81,6.41045523621142,1.31252300180495,7.6149158347398,1.27058531274088,-106.836414098374
91,6.41045523621142,1.31252300180495,7.6149158347398,1.41581470891833,-106.791572082065
101,6.41045523621142,1.16038311179727,8.42721774522215,2.05401252326556,-108.636640820333
111,6.41045523621142,1.35921872057952,8.42721774522215,1.88437614077702,-108.044160827383
121,6.41045523621142,1.35921872057952,8.42721774522215,2.10478995554149,-108.490275506866
131,6.41045523621142,1.2392933643423,6.85370885115117,2.26955861668103,-109.237307674686
141,6.78023358155042,1.28428972768597,6.60769382771105,1.81698576966301,-109.959496890031
151,6.78023358155042,1.28428972768597,6.60769382771105,1.45687503204681,-110.047036983016
161,6.78023358155042,1.34070244501345,6.60769382771105,1.64052403951064,-109.914005766682
171,6.78023358155042,1.37453051540069,6.60769382771105,1.61794149805792,-110.021015433937
181,6.78023358155042,1.41166087752208,6.60769382771105,1.43229735898785,-110.406049580856
191,6.78023358155042,1.44854411040433,6.60769382771105,2.07272849185392,-110.843985995153
201,6.78023358155042,1.19668622687459,6.60769382771105,1.24865595065057,-111.160494990608
211,6.78023358155042,1.24428657023236,6.73738801199943,1.74439886491746,-109.66494333199
221,6.78023358155042,1.14026277442463,6.73738801199943,1.30859912815504,-110.902688901068
231,6.78023358155042,1.41574782063253,6.73738801199943,1.45346499700099,-109.910658739463
241,6.78023358155042,1.49229952413589,6.73738801199943,1.63805048796348,-110.370281555075
251,6.78023358155042,1.15598962130025,6.73738801199943,1.68794093816541,-110.311602703222
261,6.23992560245097,1.27078362228349,6.73738801199943,1.68794093816541,-109.357976026266
271,6.23992560245097,1.27078362228349,6.73738801199943,1.88525413628668,-109.567576930263
281,6.59460644517094,1.21881161630154,6.73738801199943,1.39596408023499,-108.718705253324
291,6.59460644517094,1.14704019133933,6.73738801199943,1.52216614945792,-109.071897763945
301,6.59460644517094,1.14704019133933,6.73738801199943,1.94432732835412,-109.37999616617
311,6.59460644517094,1.39044377813116,6.73738801199943,1.97390637220815,-109.178062865994
321,6.59460644517094,1.3881897914689,6.73738801199943,2.43897316418588,-110.142166578918
331,6.59460644517094,1.13554420252331,6.73738801199943,1.81126338685863,-109.320727330006
341,6.59460644517094,1.16188327269629,7.0405092444271,1.94538586586714,-108.695190708574
351,6.59460644517094,1.16188327269629,7.0405092444271,1.64386855741032,-108.195342213837
361,6.59460644517094,1.16188327269629,6.90311294794084,1.4667597298976,-108.457801764031
371,6.59460644517094,1.30787965818308,6.90311294794084,1.87907443591394,-108.356719214364
381,6.59460644517094,1.13903495040722,6.90311294794084,1.88685205229558,-109.046466152343
391,6.59460644517094,1.48201773804612,9.06391833722593,1.85481863026507,-110.092066355342
401,6.59460644517094,1.36890818062238,9.06391833722593,1.73444712953642,-109.292169636431
411,6.59460644517094,1.33462605183013,6.2527756560594,1.45981157082133,-110.660095643556
421,6.33867520652711,1.1292384674307,6.2527756560594,2.08343753614463,-111.226746659721
431,6.33867520652711,1.53701029415242,6.2527756560594,1.48918343661353,-112.265745612404
441,6.79530078358948,1.05077482061461,6.2527756560594,1.89017707062885,-113.986170028361
451,6.79530078358948,1.512039932888,6.2527756560594,2.19788339571096,-112.434520360254
461,6.5301714213565,1.512039932888,7.7333555072546,2.6581494321581,-110.844679312076
471,6.5301714213565,1.17594552435912,7.7333555072546,2.13283765362576,-108.325062549816
481,6.5301714213565,1.17594552435912,7.7333555072546,1.46802313136868,-106.964303830282
491,6.5301714213565,1.17594552435912,7.7333555072546,1.28651752416045,-106.960364387295
501,6.5301714213565,1.17396488576196,7.7333555072546,1.38780176546425,-106.939330023886
511,6.5301714213565,1.59708335925825,7.7333555072546,1.03403753740713,-109.791201967433
521,6.5301714213565,1.19466325757094,7.7333555072546,1.89389130705968,-107.594729044894
531,6.5301714213565,1.19466325757094,7.7333555072546,1.29055075719953,-106.833654364043
541,6.5301714213565,1.19466325757094,7.7333555072546,1.72879214398563,-107.229571777607
551,6.5301714213565,1.19809787208214,7.7333555072546,1.4123284779489,-106.78889243326
561,6.5301714213565,1.19809787208214,7.7333555072546,2.02814722410403,-107.908770151415
